Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Country of origin,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,151.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157.0,True,False,True,True,female,True,18,False,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,"""2""",Social Service,daytime,Secondary education,115.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,True,False,False,True,female,False,21,False,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,"""1""",Veterinary Nursing,daytime,Secondary education,138.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.0,True,False,False,True,female,False,18,False,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,"""1""",Management,daytime,Secondary education,135.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,True,False,False,True,female,False,20,False,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,"""2""",Nursing,daytime,Secondary education,127.0,Portugal,Higher Education - Degree,Higher Education - Degree,"Legislative Power, Executive Bodies, Directors, and Executive Managers",Armed Forces Professions,118.8,True,False,False,True,male,False,19,False,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
single,Technological specialization diploma holders,"""1""",Agronomy,daytime,Technological specialization course,150.0,Portugal,Higher Education - Master's,Higher Education - Doctorate,Administrative Staff,Specialists in Intellectual and Scientific Activities,150.0,False,False,False,True,male,False,21,False,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
single,Change of institution/course,"""1""",Communication Design,daytime,Secondary education,125.0,Portugal,Professional Higher Technical Course,Higher Education - Degree,Specialists in Information and Communication Technologies (ICT),"Specialists in Finance, Accounting, Administrative Organization, Public and Commercial Relations",130.0,True,False,False,True,male,False,20,False,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,"""1""",Management,daytime,Secondary education,143.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",138.8,False,False,False,False,male,False,18,False,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,3rd phase - general contingent,"""1""",Social Service (evening attendance),evening,Secondary education,138.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",134.5,True,False,False,True,female,False,19,False,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Management (evening attendance),evening,Secondary education,130.0,Portugal,Higher Education - Bachelor's Degree,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,False,False,False,True,male,False,34,False,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,"""1""",Biofuel Production Technologies,daytime,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",102.5,False,False,True,False,male,False,37,False,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,"""1""",Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portugal,Unknown,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Student,Student,128.8,True,False,False,True,male,False,43,False,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of course,"""1""",Management,daytime,Secondary education,140.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",122.9,False,False,False,True,female,False,55,False,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,120.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,True,False,False,True,female,False,39,False,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,"""1""",Equinculture,daytime,Technological specialization course,120.0,Spain,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",120.0,False,False,True,False,female,False,20,True,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,"""5""",Journalism and Communication,daytime,Secondary education,126.0,Portugal,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,False,False,True,True,female,False,18,False,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,"""2""",Management,daytime,Secondary education,133.0,Portugal,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen",120.4,True,False,False,True,female,False,22,False,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,"""6""",Nursing,daytime,Secondary education,103.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,True,True,False,True,female,False,22,False,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,120.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",121.4,False,False,False,False,female,False,20,False,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,133.1,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,109.7,False,False,False,True,female,False,29,False,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,"""1""",Management (evening attendance),evening,Secondary education,154.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Personal Services, Security and Safety Workers, and Sellers",134.1,False,False,False,True,female,False,24,False,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,"""2""",Social Service,daytime,Secondary education,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,True,False,False,True,female,False,18,False,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,"""6""",Nursing,daytime,Secondary education,132.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",132.4,True,False,False,True,female,True,22,False,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,"""1""",Social Service (evening attendance),evening,Technological specialization course,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,False,False,False,True,female,True,21,False,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Social Service,daytime,Secondary education,139.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,False,False,False,True,female,True,19,False,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,"""1""",Tourism,daytime,Secondary education,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",113.5,False,False,False,True,female,True,24,False,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,139.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",121.3,True,False,False,True,female,True,19,False,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,"""1""",Journalism and Communication,daytime,Secondary education,127.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",121.8,True,False,False,True,female,True,20,False,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,"""3""",Equinculture,daytime,Secondary education,167.0,Portugal,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Other Situation,Other Situation,159.3,False,False,False,True,female,False,19,False,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,"""1""",Management (evening attendance),evening,Secondary education,130.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,False,False,False,True,female,False,27,False,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,"""1""",Nursing,daytime,Secondary education,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",129.1,True,False,False,True,female,False,18,False,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,Holders of other higher courses,"""1""",Tourism,daytime,Higher education - degree,130.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative Staff,Intermediate Level Technicians and Professions,130.0,False,False,False,True,female,False,39,False,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,"""1""",Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portugal,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,True,False,False,True,female,False,27,False,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,"""1""",Nursing,daytime,Secondary education,141.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,139.8,True,False,False,True,female,False,18,False,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,"""3""",Animation and Multimedia Design,daytime,Secondary education,125.0,Portugal,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Unskilled Workers,115.2,True,False,False,True,female,False,18,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,"""2""",Nursing,daytime,Secondary education,125.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.9,False,False,False,True,female,False,18,False,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,"""1""",Social Service,daytime,Technological specialization course,130.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131.9,False,False,False,True,female,True,21,False,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,"""3""",Animation and Multimedia Design,daytime,Secondary education,133.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",126.0,True,False,False,True,male,True,19,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,"""1""",Communication Design,daytime,Secondary education,127.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative Staff,130.2,True,False,False,True,male,False,19,False,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,Change of course,"""1""",Communication Design,daytime,Secondary education,116.0,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,False,False,False,True,male,False,24,False,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
divorced,Transfer,"""1""",Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portugal,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",126.0,True,False,False,True,male,False,29,False,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,"""3""",Animation and Multimedia Design,daytime,Secondary education,139.0,Portugal,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,128.2,True,False,False,True,male,True,19,False,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
